id,project_key,type,timestamp,page_url,page_path,page_title,page_host,user_ip,user_agent,user_language,user_platform,screen_width,screen_height,viewport_width,viewport_height,referrer,event_data,created_at,visitor_id,session_id,entry_page,source,search_keyword,visit_duration,page_count,region

21,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:41.866Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":1,""responseTime"":0,""domReadyTime"":6,""loadTime"":-1767415181854,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:41.986Z,,,,,,,
22,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:41.993Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":1,""responseTime"":0,""domReadyTime"":7,""loadTime"":-1767415181982,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:42.191Z,,,,,,,
23,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:42.201Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":2,""responseTime"":0,""domReadyTime"":9,""loadTime"":-1767415182186,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:42.397Z,,,,,,,
24,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:42.410Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":2,""responseTime"":0,""domReadyTime"":12,""loadTime"":-1767415182390,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:42.599Z,,,,,,,
25,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:42.610Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":2,""responseTime"":0,""domReadyTime"":9,""loadTime"":-1767415182594,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:42.798Z,,,,,,,
26,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:42.806Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":1,""responseTime"":0,""domReadyTime"":6,""loadTime"":-1767415182795,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:43.002Z,,,,,,,
27,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:43.012Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,45.207.157.233,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":1,""responseTime"":0,""domReadyTime"":8,""loadTime"":-1767415182998,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:44.557Z,,,,,,,
28,0346c20e5580a8d83b0372089bbfdd8d,click,2026-01-03T04:39:43.181Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,45.207.157.233,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""element"":""BUTTON"",""id"":"""",""className"":"""",""text"":""测试点击事件"",""x"":414,""y"":286}",2026-01-03T04:39:44.557Z,,,,,,,
29,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:44.567Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":1,""responseTime"":0,""domReadyTime"":8,""loadTime"":-1767415184551,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:44.735Z,,,,,,,
30,0346c20e5580a8d83b0372089bbfdd8d,pageview,2026-01-03T04:39:44.745Z,http://127.0.0.1:5500/plugin/example.html,/plugin/example.html,监控插件测试页面,127.0.0.1:5500,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",zh-CN,MacIntel,1440,900,1440,779,http://127.0.0.1:5500/plugin/example.html,"{""performance"":{""dnsTime"":0,""tcpTime"":0,""requestTime"":1,""responseTime"":0,""domReadyTime"":9,""loadTime"":-1767415184730,""redirectTime"":0,""type"":1}}",2026-01-03T04:39:44.936Z,,,,,,,
